question,answer
O que significa ter uma doença mental?,"Doenças mentais são condições de saúde que perturbam os pensamentos, emoções, relacionamentos e funcionamento diário de uma pessoa. Eles estão associados à angústia e à diminuição da capacidade de se envolver nas atividades comuns da vida diária. É importante saber que as doenças mentais são condições médicas que nada têm a ver com o caráter, a inteligência ou a força de vontade de uma pessoa. Assim como o diabetes é um distúrbio do pâncreas, a doença mental é uma condição médica devido à biologia do cérebro. Da mesma forma que se trata o diabetes com medicação e insulina, a doença mental é tratável com uma combinação de medicação e apoio social. Esses tratamentos são altamente eficazes, com 70-90 por cento dos indivíduos que recebem tratamento experimentando uma redução nos sintomas e uma melhor qualidade de vida. Com o tratamento adequado, é muito possível que uma pessoa com doença mental seja independente e bem-sucedida."
Quem a doença mental afeta?,"Estima-se que a doença mental afete 1 em cada 5 adultos nos Estados Unidos e que 1 em cada 24 adultos tenha uma doença mental grave. A doença mental não discrimina; pode afetar qualquer pessoa, independentemente de sexo, idade, renda, status social, etnia, religião, orientação sexual ou origem. Embora a doença mental possa afetar qualquer pessoa, certas condições podem ser mais comuns em diferentes populações. Por exemplo, os transtornos alimentares tendem a ocorrer com mais frequência no sexo feminino, enquanto transtornos como o transtorno de déficit de atenção/hiperatividade são mais prevalentes em crianças. Além disso, todas as idades são suscetíveis, mas os jovens e os idosos são especialmente vulneráveis. As doenças mentais geralmente atingem os indivíduos no auge de suas vidas, com 75% dos problemas de saúde mental se desenvolvendo aos 24 anos. Isso torna a identificação e o tratamento de transtornos mentais particularmente difíceis, porque a personalidade normal e as mudanças comportamentais da adolescência podem mascarar sintomas de uma condição de saúde mental."
Sinais de alerta de doença mental,"Os sintomas de distúrbios de saúde mental variam dependendo do tipo e gravidade da condição. A seguir está uma lista de sintomas gerais que podem sugerir um transtorno de saúde mental, particularmente quando vários sintomas são expressos ao mesmo tempo. Em adultos: Tristeza ou irritabilidade de longa duração, altos e baixos extremos no humor, medo excessivo, preocupação ou ansiedade, retraimento social, mudanças drásticas nos hábitos alimentares ou de sono, fortes sentimentos de raiva, delírios ou alucinações, incapacidade crescente de lidar com problemas e atividades diárias, pensamentos de suicídio, negação de problemas óbvios, muitos problemas físicos inexplicáveis, abuso de drogas e/ou álcool, medo intenso de ganhar peso. Em crianças menores: Mudanças no desempenho escolar, notas baixas, apesar dos grandes esforços, preocupação excessiva ou ansiedade, hiperatividade, pesadelos persistentes, desobediência, comportamento agressivo."
Pessoas com doença mental podem se recuperar,"Ao se curar de uma doença mental, a identificação e o tratamento precoces são de vital importância. Com base na natureza da doença, há uma variedade de tratamentos eficazes disponíveis. Para qualquer tipo de tratamento, é essencial que a pessoa afetada seja proativa e totalmente engajada em seu próprio processo de recuperação. Muitas pessoas com doenças mentais diagnosticadas e tratadas respondem bem, embora algumas possam apresentar um retorno dos sintomas. Mesmo nesses casos, com acompanhamento cuidadoso e manejo do transtorno, ainda é possível viver uma vida plena e produtiva."
Conheço alguém que parece ter os sintomas de um transtorno mental,"É incentivamos aqueles com sintomas a conversar com seus amigos e familiares e procurar o conselho de um profissional de saúde mental. Quanto mais cedo a condição de saúde mental for identificada e tratada, mais cedo eles poderão entrar no caminho da recuperação. Se você conhece alguém que está tendo problemas, não assuma que o problema se resolverá sozinho. Deixe-os saber que você se importa com eles e que existem opções de tratamento disponíveis que os ajudarão a se curar. Fale com um profissional de saúde mental ou conselheiro se achar que seu amigo ou membro da família está apresentando os sintomas de uma condição de saúde mental. Se o ente querido afetado souber que você o apoia, é mais provável que procure ajuda."
Como posso encontrar um profissional de saúde mental?,Sentir-se confortável com o profissional é fundamental para o sucesso do tratamento. Encontrar o profissional que melhor se adapta às suas necessidades pode exigir pesquisas. Comece pesquisando fornecedores em sua área.
Quais opções de tratamento estão disponíveis?,"Assim como existem diferentes tipos de medicamentos para doenças físicas, diferentes opções de tratamento estão disponíveis para indivíduos com doenças mentais. O tratamento funciona de forma diferente para pessoas diferentes. É importante encontrar o que melhor se adapte para cada situação."
"Se eu me envolver no tratamento, o que preciso saber?","Como o início do tratamento é um grande passo para indivíduos e famílias, pode ser muito avassalador. É importante estar tão envolvido e engajado no processo de tratamento quanto possível."
Qual é a diferença entre os profissionais de saúde mental?,"Existem muitos tipos de profissionais de saúde mental. A variedade de provedores e seus serviços pode ser confusa. Cada um tem vários níveis de educação, treinamento e pode ter diferentes áreas de especialização. Encontrar o profissional que melhor se adapta às suas necessidades pode exigir alguma pesquisa."
O que fazer se o suporte não ajudar?,"Pode ser difícil encontrar as coisas que o ajudarão, pois coisas diferentes ajudam pessoas diferentes. É importante estar aberto a uma variedade de abordagens e estar comprometido em encontrar a ajuda certa e continuar esperançoso, mesmo quando algumas coisas não funcionam."
Você pode prevenir problemas de saúde mental?,"Todos nós podemos sofrer de desafios de saúde mental, mas desenvolver nosso bem-estar, resiliência e buscar ajuda precocemente pode ajudar a evitar que os desafios se tornem sérios."
Curas para problemas de saúde mental,"Muitas vezes é mais realista e útil descobrir o que ajuda com os problemas que você enfrenta. Conversas, aconselhamento, medicamentos, amizades, exercícios, boa noite de sono e nutrição, e uma ocupação significativa podem ajudar."
Causas de problemas de saúde mental,"Desafios ou problemas com sua saúde mental podem surgir de questões psicológicas, biológicas e sociais, bem como de eventos da vida."
O que eu faço se estou preocupado com minha saúde mental?,"O mais importante é conversar com alguém de sua confiança. Pode ser um amigo, colega, membro da família ou clínico geral. Além de conversar com alguém, pode ser útil descobrir mais informações sobre o que você está vivenciando. Essas coisas podem ajudar a ter alguma perspectiva sobre o que você está vivenciando e ser o começo para obter ajuda."
O que devo fazer se estiver preocupado com um amigo ou parente?,Isso pode depender do seu relacionamento com eles. Incentivar gentilmente alguém a procurar o apoio adequado seria útil para começar.
